Net Rate Delay Loss Scheme
r5d100l0 5000 100 0 Loss
r5d100l0p5 5000 100 0.50 Loss
r5d100l1p0 5000 100 1.0 Loss
r5d100l1p5 5000 100 1.50 Loss
r5d100l2p0 5000 100 2.0 Loss
r5d100l2p5 5000 100 2.50 Loss
r5d100l0p2 5000 100 0.2 Loss
r5d100l0p4 5000 100 0.4 Loss
r5d100l0p6 5000 100 0.6 Loss
r5d100l0p8 5000 100 0.8 Loss
r5d100lp05 5000 100 0.05 Loss
r5lp03d150 5000 150 0.03 Delay
r5lp03d200 5000 200 0.03 Delay
r5lp03d250 5000 250 0.03 Delay
r5lp03d300 5000 300 0.03 Delay
r5lp03d350 5000 350 0.03 Delay
r5lp03d400 5000 400 0.03 Delay
r5lp5d150 5000 150 0.5 Delay_p5Loss
r5lp5d200 5000 200 0.5 Delay_p5Loss
r5lp5d250 5000 250 0.5 Delay_p5Loss
r5lp5d300 5000 300 0.5 Delay_p5Loss
r5lp5d350 5000 350 0.5 Delay_p5Loss
r5lp5d400 5000 400 0.5 Delay_p5Loss
r5l1p0d150 5000 150 1.0 Delay_1p0Loss
r5l1p0d200 5000 200 1.0 Delay_1p0Loss
r5l1p0d250 5000 250 1.0 Delay_1p0Loss
r5l1p0d300 5000 300 1.0 Delay_1p0Loss
r5l1p0d350 5000 350 1.0 Delay_1p0Loss
r5l1p0d400 5000 400 1.0 Delay_1p0Loss
r5lp1d150 5000 150 0.1 Delay_p1Loss
r5lp1d200 5000 200 0.1 Delay_p1Loss
r5lp1d250 5000 250 0.1 Delay_p1Loss
r5lp1d300 5000 300 0.1 Delay_p1Loss
r5lp1d350 5000 350 0.1 Delay_p1Loss
r5lp1d400 5000 400 0.1 Delay_p1Loss
r5lp2d150 5000 150 0.2 Delay_p2Loss
r5lp2d200 5000 200 0.2 Delay_p2Loss
r5lp2d250 5000 250 0.2 Delay_p2Loss
r5lp2d300 5000 300 0.2 Delay_p2Loss
r5lp2d350 5000 350 0.2 Delay_p2Loss
r5lp2d400 5000 400 0.2 Delay_p2Loss
